host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,accommodates,bathrooms_text,bedrooms,beds,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire,property_type_Other,property_type_Private,property_type_Room,property_type_Shared,Backyard,Baking sheet,Bathtub,Bed linens,Board games,Body soap,Books and reading material,Carbon monoxide alarm,Central heating,Cleaning products,Clothing storage: closet,Coffee Facilities,Coffee maker,Cooking basics,Crib,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Drying rack for clothing,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,Free parking on premises,Free street parking,Free washer – In unit,Freezer,Hangers,Heating,High chair,Host greets you,Hot water,Hot water kettle,Indoor fireplace,Iron,Kitchen,Laundromat nearby,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outdoor furniture,Oven,Pack ’n play/Travel crib,Paid parking off premises,Pets allowed,Private entrance,Refrigerator,Room-darkening shades,Self check-in,Shower gel,Single level home,Smoke alarm,Soap,Stove,TV,Toaster,Washer,WiFi,Wine glasses,reviews_pc1,availability_pc1,nights_pc1
3,1.0,0.96,1,3,6,2,1,1,"Old Town, Princes Street and Leith Street",2,1.0,1.0,1.0,2.0569048513364727,1,450,73,4,0,1,1,0,0,3.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-2.0067146269464806,-0.45208225363391086,-2.1196783388241185
4,1.0,0.95,1,1,2,2,1,1,Polwarth,3,1.0,1.0,1.0,1.7781512503836436,1,354,52,2,0,1,0,1,0,2.86,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,-0.5541224666856994,-0.03937970387942579,-2.3973666500443027
4,1.0,0.99,0,6,9,2,1,1,Dalry and Fountainbridge,10,2.0,4.0,8.0,2.2095150145426308,1,268,51,4,1,2,2,0,0,2.27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0.5100787502561657,-0.928710321796459,-1.5114469243086863
4,1.0,1.0,1,1,1,2,1,1,Deans Village,4,1.0,2.0,2.0,2.1398790864012365,1,210,7,0,1,1,1,0,0,1.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,-1.6718236653211522,-1.1189792681692505,-2.1446204288483557
4,1.0,0.91,0,2,2,3,1,1,New Town East and Gayfield,6,1.5,3.0,4.0,1.99563519459755,1,49,13,0,1,1,1,0,0,0.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,4.039864115737259,-2.7381532305138077,0.43913829035884594
4,1.0,1.0,1,4,4,2,1,1,"Canongate, Southside and Dumbiedykes",4,1.0,2.0,3.0,2.130333768495006,1,354,73,4,1,4,4,0,0,3.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,-0.7869494005841204,-0.8552572978079704,1.1138837699086674
3,1.0,0.97,1,15,38,2,1,1,"Old Town, Princes Street and Leith Street",4,1.0,1.0,2.0,1.9242792860618816,1,78,0,0,0,15,15,0,0,0.66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0.16407904474705917,-2.7381532305138077,-0.9640208320093702
3,1.0,0.97,1,15,38,2,1,1,Broughton South,5,1.5,2.0,2.0,1.9242792860618816,1,53,0,0,0,15,15,0,0,0.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,-1.2633484022252897,-2.7381532305138077,-1.8606491238488436
4,1.0,0.99,0,51,59,2,1,1,Balgreen and Roseburn,4,2.0,2.0,2.0,2.2329961103921536,1,27,16,2,1,48,48,0,0,0.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,4.377815993672185,-0.7180597354762954,-1.466828224360994
3,1.0,0.88,1,2,2,2,1,1,Western Harbour and Leith Docks,6,2.5,2.0,2.0,2.3979400086720375,1,94,22,2,0,1,1,0,0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,-1.0915473838988647,0.8971120225932493,-1.7777923840088923
4,0.98,0.98,0,3,4,2,1,1,"Canongate, Southside and Dumbiedykes",6,1.0,2.0,1.0,2.0569048513364727,1,48,21,2,1,3,3,0,0,0.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,3.3537473149431563,-2.2572603692219175,0.9408892671973271
3,1.0,0.98,1,3,4,2,1,1,"Old Town, Princes Street and Leith Street",8,3.0,3.0,7.0,2.5575072019056577,1,176,23,1,0,3,3,0,0,1.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0.29270319504320447,-0.6032261309092406,-2.1809268121207332
4,1.0,1.0,0,4,6,2,1,1,Deans Village,4,2.0,2.0,3.0,2.383815365980431,1,51,23,3,0,3,3,0,0,0.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0.33908066508401297,0.9849835636628128,0.35709911882243295
